URL_ID,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
27831.0,0.07680677032717849,0.07680677032717849,0.5767808551992226,70,0.34734734734734735,52.50857142857143,14.271428571428572,347,999,1.4894894894894894,10,4.925925925925926
32910.8,0.018814935064935066,0.018814935064935066,0.37167676767676755,63,0.46807109940750496,133.24444444444444,24.11111111111111,711,1519,1.7248189598420014,0,5.658986175115207
7973.6,0.10265781188508463,0.10265781188508463,0.4231282959464777,47,0.4288272157564906,87.9063829787234,23.76595744680851,479,1117,1.6239928379588182,14,5.504028648164727
21365.8,0.22744949494949493,0.22744949494949493,0.5095454545454545,29,0.3702770780856423,25.47586206896552,13.689655172413794,147,397,1.5415617128463477,0,5.289672544080605
48612.0,0.07752795319759606,0.07752795319759606,0.3923359130948417,104,0.4366341713699333,145.09615384615387,18.740384615384617,851,1949,1.6423807080554131,15,5.429964084145716
20442.2,0.16047138047138046,0.16047138047138046,0.46255471380471375,50,0.3693379790940767,68.784,22.96,424,1148,1.5331010452961673,4,4.9817073170731705
18133.2,0.04386073573573572,0.04386073573573572,0.3940557865557865,58,0.4085014409221902,96.37241379310345,23.93103448275862,567,1388,1.5965417867435159,2,5.229827089337176
4279.2,0.0,0.0,0.0,1,0.125,3.2,8.0,1,8,1.25,0,4.25
49535.6,0.05240580407247074,0.05240580407247074,0.3980952380952381,32,0.408716136631331,59.0125,26.53125,347,849,1.580683156654888,5,5.202591283863368
25060.2,0.12432342244842245,0.12432342244842245,0.4999897174897173,72,0.31101021566401815,97.3888888888889,24.47222222222222,548,1762,1.4801362088535754,22,4.826901248581158
11206.2,0.14694743662134965,0.14694743662134965,0.41690760929891363,46,0.3967828418230563,53.68695652173913,16.217391304347824,296,746,1.613941018766756,11,5.222520107238606
52306.4,0.07345173432437582,0.07345173432437582,0.434461460970895,64,0.38354151359294636,87.70625000000001,21.265625,522,1361,1.5944158706833211,5,5.42468772961058
22751.2,0.3378571428571428,0.3378571428571428,0.45642857142857146,10,0.375,16.880000000000003,19.2,72,192,1.5208333333333333,1,5.005208333333333
2893.8,0.08595124716553286,0.08595124716553286,0.45943176928891205,67,0.45524296675191817,92.60298507462687,17.507462686567163,534,1173,1.7033248081841432,4,5.602728047740835
26445.6,0.21767451298701304,0.21767451298701304,0.4330154220779221,58,0.3237359550561798,81.42068965517242,24.551724137931036,461,1424,1.4606741573033708,8,4.695224719101123
4321.0,0.1397062416141364,0.1397062416141364,0.38562365509733926,59,0.4766881028938907,97.63389830508476,21.084745762711865,593,1244,1.6631832797427653,13,5.628617363344051
2345.0,0.0,0.0,0.0,1,0.125,3.2,8.0,1,8,1.25,0,4.25
40761.4,0.0,0.0,0.0,1,0.125,3.2,8.0,1,8,1.25,0,4.25
16286.0,0.18236446093588943,0.18236446093588943,0.44819238301381165,56,0.4192546583850932,78.5,17.25,405,966,1.6438923395445135,1,5.312629399585921
51382.8,0.013231213231213226,0.013231213231213226,0.40128760128760127,51,0.4497323022010708,127.1843137254902,32.96078431372549,756,1681,1.6311719214753122,2,5.331945270672219
41685.0,0.24257936507936514,0.24257936507936514,0.5330952380952381,31,0.2584573748308525,32.33548387096774,23.838709677419356,191,739,1.3058186738836266,45,4.309878213802436
38452.4,0.061628905514775074,0.061628905514775074,0.433699181253529,60,0.37657657657657656,65.8,18.5,418,1110,1.5099099099099098,24,4.934234234234234
8435.4,0.0,0.0,0.0,1,0.125,3.2,8.0,1,8,1.25,0,4.25
13053.4,0.11554057756589406,0.11554057756589406,0.4629398906297641,115,0.4269889224572004,130.50782608695653,17.269565217391303,848,1986,1.6153071500503524,0,5.3444108761329305
10282.6,0.05317796664120197,0.05317796664120197,0.5091386995357584,82,0.39165237278444825,118.93170731707318,21.329268292682926,685,1749,1.6237850200114352,16,5.241852487135506
7050.0,0.13522418058132343,0.13522418058132343,0.42674242424242426,50,0.4346368715083799,69.56,17.9,389,895,1.6603351955307262,2,5.415642458100558
9359.0,0.11071141443590425,0.11071141443590425,0.480763833671997,85,0.4392523364485981,144.4564705882353,20.141176470588235,752,1712,1.7412383177570094,2,5.5327102803738315
45841.2,0.11087717286392783,0.11087717286392783,0.5009680091799297,79,0.31357254290171604,56.491139240506335,16.227848101265824,402,1282,1.3962558502340094,7,4.65600624024961
36605.2,0.11380260449932583,0.11380260449932583,0.4517410048967429,72,0.3425774877650897,74.0111111111111,17.02777777777778,420,1226,1.5073409461663947,44,4.926590538336052
7511.8,0.09198756747367857,0.09198756747367857,0.45257953466286777,56,0.3268801191362621,75.19285714285715,23.982142857142858,439,1343,1.4743112434847356,32,4.766939687267312
19518.6,0.271554834054834,0.271554834054834,0.5001851851851852,45,0.3923865300146413,47.67111111111112,15.177777777777777,268,683,1.610541727672035,4,5.2620790629575405
16747.8,0.0876316738816739,0.0876316738816739,0.34342171717171716,42,0.46005509641873277,76.11428571428571,17.285714285714285,334,726,1.7796143250688705,0,5.652892561983471
28292.8,0.27125553709856043,0.27125553709856043,0.6278100775193799,73,0.29577464788732394,54.22465753424658,15.561643835616438,336,1136,1.426056338028169,5,4.67693661971831
37528.8,0.0,0.0,0.0,1,0.125,3.2,8.0,1,8,1.25,0,4.25
